Brad Wenstrup,Republican,Ohio,2,bradwenstrup,Campaign
Joyce Beatty,Democratic,Ohio,3,JoyceBeatty,Campaign
Jim Jordan,Republican,Ohio,4,Jim_Jordan,Official
Bob Latta,Republican,Ohio,5,latta4congress,Campaign
Bill Johnson,Republican,Ohio,6,JohnsonLeads,Campaign
Bob Gibbs,Republican,Ohio,7,Bob_Gibbs,Campaign
Warren Davidson,Republican,Ohio,8,Vote_Davidson,Campaign
Marcy Kaptur,Democratic,Ohio,9,Marcy_Kaptur,Campaign
Mike Turner,Republican,Ohio,10,None,None
Marcia Fudge,Democratic,Ohio,11,mlfudge,Campaign
Troy Balderson,Republican,Ohio,12,RepBalderson,Official
Tim Ryan,Democratic,Ohio,13,TimRyan,Campaign
David Joyce,Republican,Ohio,14,DaveJoyceOH14,Campaign
Steve Stivers,Republican,Ohio,15,None,None
Anthony Gonzalez,Republican,Ohio,16,RepAGonzalez,Official
Kevin Hern,Republican,Oklahoma,1,krhern,Campaign
Markwayne Mullin,Republican,Oklahoma,2,RepMullin,Official
Frank Lucas,Republican,Oklahoma,3,FrankDLucas,Campaign
Tom Cole,Republican,Oklahoma,4,TomColeOK04,Official
Stephanie Bice,Republican,Oklahoma,5,stephaniebice,Campaign
Suzanne Bonamici,Democratic,Oregon,1,repbonamici,Official
Cliff Bentz,Republican,Oregon,2,RepBentz,Official
Earl Blumenauer,Democratic,Oregon,3,None,None
Peter DeFazio,Democratic,Oregon,4,defazio4oregon,Campaign
Kurt Schrader,Democratic,Oregon,5,VoteSchrader,Campaign
Brian Fitzpatrick,Republican,Pennsylvania,1,RepBrianFitz,Official
Brendan Boyle,Democratic,Pennsylvania,2,CongBoyle,Official
Dwight Evans,Democratic,Pennsylvania,3,RepDwightEvans,Official
Madeleine Dean,Democratic,Pennsylvania,4,RepDean,Official
Mary Gay Scanlon,Democratic,Pennsylvania,5,repmgs,Official
Chrissy Houlahan,Democratic,Pennsylvania,6,rephoulahan,Official
Susan Wild,Democratic,Pennsylvania,7,RepSusanWild,Official
Matt Cartwright,Democratic,Pennsylvania,8,RepCartwright,Official
Dan Meuser,Republican,Pennsylvania,9,RepMeuser,Official
Scott Perry,Republican,Pennsylvania,10,RepScottPerry,Official
Lloyd Smucker,Republican,Pennsylvania,11,RepSmucker,Official
Fred Keller,Republican,Pennsylvania,12,RepFredKeller,Official
John Joyce,Republican,Pennsylvania,13,RepJohnJoyce,Official
Guy Reschenthaler,Republican,Pennsylvania,14,GReschenthaler,Official
Glenn Thompson,Republican,Pennsylvania,15,CongressmanGT,Official
Mike Kelly,Republican,Pennsylvania,16,MikeKellyforPA,Campaign
Conor Lamb,Democratic,Pennsylvania,17,ConorLambPA,Campaign
Michael F. Doyle,Democratic,Pennsylvania,18,rep_doyle,Campaign
David Cicilline,Democratic,Rhode Island,1,davidcicilline,Campaign
Jim Langevin,Democratic,Rhode Island,2,LangevinForRI,Campaign
Nancy Mace,Republican,South Carolina,1,NancyMace,Campaign
Joe Wilson,Republican,South Carolina,2,TeamJoeWilson,Campaign
Jeff Duncan,Republican,South Carolina,3,Duncan4Congress,Campaign
William Timmons,Republican,South Carolina,4,VoteTimmons,Campaign
Ralph Norman,Republican,South Carolina,5,RalphNorman,Campaign
Jim Clyburn,Democratic,South Carolina,6,ClyburnSC06,Campaign
Tom Rice,Republican,South Carolina,7,RepTomRice,Official
Dusty Johnson,Republican,South Dakota,1,RepDustyJohnson,Official
Diana Harshbarger,Republican,Tennessee,1,DHarshbargerTN1,Campaign
Tim Burchett,Republican,Tennessee,2,timburchett,Campaign
Chuck Fleischmann,Republican,Tennessee,3,chuck4congress,Campaign
Scott DesJarlais,Republican,Tennessee,4,tndesjarlais,Campaign
Jim Cooper,Democratic,Tennessee,5,CoopForCongress,Campaign
John W. Rose,Republican,Tennessee,6,Missing,Missing
Mark E. Green,Republican,Tennessee,7,Missing,Missing
David Kustoff,Republican,Tennessee,8,DavidKustoff,Campaign
Steve Cohen,Democratic,Tennessee,9,ReElectCohen,Campaign
Louie Gohmert,Republican,Texas,1,replouiegohmert,Official
Dan Crenshaw,Republican,Texas,2,Missing,Missing
Van Taylor,Republican,Texas,3,VanTaylorTX,Campaign
Pat Fallon,Republican,Texas,4,FallonForTexas,Campaign
Lance Gooden,Republican,Texas,5,Lancegooden,Campaign
Ron Wright,Republican,Texas,6,ron4congress,Campaign
Lizzie Fletcher,Democratic,Texas,7,lizzie4congress,Campaign
Kevin Brady,Republican,Texas,8,bradyfortexas,Campaign
Al Green,Democratic,Texas,9,RepAlGreenTX,Campaign
Michael McCaul,Republican,Texas,10,McCaulforTexas,Campaign
August Pfluger,Republican,Texas,11,AugustPfluger,Campaign
Kay Granger,Republican,Texas,12,GrangerCampaign,Campaign
Ronny Jackson,Republican,Texas,13,RonnyJacksonTX,Campaign
Randy Weber,Republican,Texas,14,TXRandy14,Official
Vicente Gonzalez,Democratic,Texas,15,RepGonzalez,Official
Veronica Escobar,Democratic,Texas,16,vgescobar,Campaign
Pete Sessions,Republican,Texas,17,SessionsTX17,Campaign
Sheila Jackson Lee,Democratic,Texas,18,JacksonLeeTX18,Official
Jodey Arrington,Republican,Texas,19,JodeyArrington,Campaign
Joaquin Castro,Democratic,Texas,20,Castro4Congress,Campaign
Chip Roy,Republican,Texas,21,chiproytx,Campaign
Troy Nehls,Republican,Texas,22,SheriffTNehls,Campaign
Tony Gonzales,Republican,Texas,23,TonyGonzales4TX,Campaign
Beth Van Duyne,Republican,Texas,24,RepBethVanDuyne,Official
Roger Williams,Republican,Texas,25,RogerWilliamsTX,Campaign
Michael C. Burgess,Republican,Texas,26,michaelcburgess,Official
Michael Cloud,Republican,Texas,27,MichaelJCloud,Campaign
Henry Cuellar,Democratic,Texas,28,CuellarCampaign,Campaign
Sylvia Garcia,Democratic,Texas,29,RepSylviaGarcia,Official
Eddie Bernice Johnson,Democratic,Texas,30,RepEBJ,Official
John Carter,Republican,Texas,31,JudgeJohnCarter,Campaign
Colin Allred,Democratic,Texas,32,ColinAllredTX,Campaign
Marc Veasey,Democratic,Texas,33,MarcVeasey,Campaign
Filemon Vela Jr.,Democratic,Texas,34,Missing,Missing
Lloyd Doggett,Democratic,Texas,35,LloydDoggettTX,Campaign
Brian Babin,Republican,Texas,36,babin4congress,Campaign
Blake Moore,Republican,Utah,1,RepBlakeMoore,Official
Chris Stewart,Republican,Utah,2,StewartforUtah,Campaign
John Curtis,Republican,Utah,3,RepJohnCurtis,Official
Burgess Owens,Republican,Utah,4,RepBurgessOwens,Official
Peter Welch,Democratic,Vermont,1,WelchForVT,Campaign
Rob Wittman,Republican,Virginia,1,RobWittman,Official
Elaine Luria,Democratic,Virginia,2,RepElaineLuria,Official
Bobby Scott,Democratic,Virginia,3,bobbyscott4va3,Campaign
Donald McEachin,Democratic,Virginia,4,RepMcEachin,Official
Bob Good,Republican,Virginia,5,GoodForCongress,Campaign
Ben Cline,Republican,Virginia,6,Cline4Virginia,Campaign
Abigail Spanberger,Democratic,Virginia,7,RepSpanberger,Official
Don Beyer,Democratic,Virginia,8,RepDonBeyer,Official
Morgan Griffith,Republican,Virginia,9,RepMGriffith,Official
Jennifer Wexton,Democratic,Virginia,10,JenniferWexton,Campaign
Gerry Connolly,Democratic,Virginia,11,GerryConnolly,Official
Suzan DelBene,Democratic,Washington,1,SuzanDelBene,Campaign
Rick Larsen,Democratic,Washington,2,larsenrick,Campaign
Jaime Herrera Beutler,Republican,Washington,3,JaimeForUSRep,Campaign
Dan Newhouse,Republican,Washington,4,Newhouse4Rep,Campaign
Cathy McMorris Rodgers,Republican,Washington,5,teamcmr,Campaign
Derek Kilmer,Democratic,Washington,6,DerekKilmer,Campaign
Pramila Jayapal,Democratic,Washington,7,PramilaJayapal,Campaign
Kim Schrier,Democratic,Washington,8,DrKimSchrier,Campaign
Adam Smith,Democratic,Washington,9,electadamsmith,Campaign
Marilyn Strickland,Democratic,Washington,10,StricklandforWA,Campaign
David McKinley,Republican,West Virginia,1,McKinleyforWV,Campaign
Alex Mooney,Republican,West Virginia,2,MooneyforWV,Campaign
Carol Miller,Republican,West Virginia,3,CarolMillerWV,Campaign
Bryan Steil,Republican,Wisconsin,1,BryanSteil,Campaign
Mark Pocan,Democratic,Wisconsin,2,MarkPocan,Campaign
Ron Kind,Democratic,Wisconsin,3,KindforCongress,Campaign
Gwen Moore,Democratic,Wisconsin,4,Gwen4Congress,Campaign
Scott L. Fitzgerald,Republican,Wisconsin,5,Missing,Missing
Glenn Grothman,Republican,Wisconsin,6,GrothmanforWI,Campaign
